,UniqueID,disbursed_amount,asset_cost,ltv,branch_id,supplier_id,manufacturer_id,Current_pincode_ID,Date.of.Birth,Employment.Type,DisbursalDate,State_ID,Employee_code_ID,MobileNo_Avl_Flag,Aadhar_flag,PAN_flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,PERFORM_CNS.SCORE.DESCRIPTION,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,NO.OF_INQUIRIES,loan_default,riskcat
67309,585640,41544,71958,62.54,5,14293,86,3348,22-01-78,Salaried,17-10-18,9,1580,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
38976,523232,55259,64488,86.84,136,14189,86,3716,17-08-94,Salaried,20-09-18,8,200,1,1,0,0,0,0,662,F-Low Risk,6,3,0,220073,350196,350196,2,0,Low Risk
205454,634263,57009,72805,79.66,18,14115,86,2687,1/1/1969,Self employed,28-10-18,4,3010,1,1,0,0,0,0,409,K-High Risk,11,6,2,1974882,900000,2407784,0,0,High Risk
177315,511034,58100,72675,81.18,146,15694,86,2962,1/1/1991,Self employed,16-09-18,14,2362,1,1,0,0,0,0,836,A-Very Low Risk,1,0,0,0,0,0,0,1,Low Risk
205842,417472,50047,72800,72.53,84,17433,86,2933,29-12-92,,1/8/2018,21,2860,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
117754,577633,72461,180661,42.07,78,23044,67,2069,8/8/1968,Salaried,14-10-18,4,174,1,1,0,0,0,0,458,K-High Risk,3,2,1,27247,12000,0,0,0,High Risk
164529,465070,64882,92315,72.58,152,23552,51,5171,10/1/1986,Self employed,25-08-18,3,2259,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
76723,480096,47024,73175,66.52,36,15408,45,6563,1/1/1992,Self employed,31-08-18,13,1362,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
20226,545516,59827,79380,77.95,152,22554,45,5211,6/9/1996,,28-09-18,3,1383,1,0,0,1,0,0,708,D-Very Low Risk,4,2,0,11900,42200,42200,0,0,Low Risk
232076,420372,73017,83500,89.22,135,23618,86,1630,5/6/1985,Self employed,3/8/2018,4,2044,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
49135,551711,50378,69336,73.99,104,20379,86,7152,1/1/1965,Self employed,30-09-18,10,405,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
95669,640945,60747,69922,88.67,73,22939,45,286,1/1/1976,Salaried,30-10-18,11,959,1,1,0,0,0,0,718,D-Very Low Risk,4,2,0,6462,54547,54547,1,0,Low Risk
117870,493483,22574,44979,53.36,11,23964,51,6012,1/1/1988,Self employed,6/9/2018,3,1289,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
60791,511864,53003,78917,68.43,135,22671,86,1705,10/1/1979,Salaried,17-09-18,4,1909,1,1,0,0,0,0,300,M-Very High Risk,9,2,1,266680,631346,631346,0,0,High Risk
73617,531178,64882,90001,74.44,1,20538,120,5042,7/8/1981,Self employed,24-09-18,3,1581,1,0,0,1,0,0,699,E-Low Risk,8,4,0,846127,949025,949025,0,0,Low Risk
81291,445089,31484,64133,51.46,152,22056,45,4920,1/1/1986,Self employed,17-08-18,3,1866,1,1,0,0,0,0,738,C-Very Low Risk,1,1,0,81100,88900,88900,0,0,Low Risk
48200,556916,43394,66781,65.89,48,21478,86,6324,28-05-96,Self employed,4/10/2018,5,438,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
206850,487434,38539,67461,59.29,61,15894,86,1348,1/6/1994,Self employed,3/9/2018,6,2941,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
96384,525322,51303,62175,85.24,3,13948,86,31,25-09-82,Self employed,21-09-18,1,483,1,1,1,0,0,0,763,B-Very Low Risk,2,1,0,1484,11900,11900,0,0,Low Risk
9628,493650,50578,62004,84.67,61,18207,86,1325,20-06-88,Self employed,6/9/2018,6,793,1,1,0,0,0,0,627,H-Medium Risk,13,7,2,48533,153537,157713,1,0,Medium Risk
146005,598985,95490,174579,57.28,159,23385,67,7200,1/1/1992,Self employed,22-10-18,7,794,1,1,0,0,0,0,300,M-Very High Risk,2,2,2,326917,395000,395000,1,0,High Risk
174924,570117,69123,79000,89.87,2,23434,86,1691,23-06-74,Salaried,11/10/2018,4,2394,1,1,0,0,0,0,763,B-Very Low Risk,2,1,0,800,43000,43000,0,0,Low Risk
136511,604387,44023,71260,63.43,18,14115,86,2702,7/10/1981,Self employed,23-10-18,4,1837,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,1,0,No History
16715,449638,37439,69117,56.43,7,20473,86,5781,1/1/1989,Salaried,20-08-18,3,347,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
69962,480413,49349,65000,76.92,2,23170,86,1680,18-08-88,Self employed,31-08-18,4,598,1,1,0,0,0,0,738,C-Very Low Risk,2,1,0,110383,112478,112478,1,0,Low Risk
107943,463457,54559,62804,88.37,72,16676,86,475,7/9/1995,Self employed,25-08-18,11,584,1,1,0,0,0,0,691,E-Low Risk,15,5,0,67826,105754,105754,0,0,Low Risk
108028,575429,45349,73107,62.92,61,15919,45,1313,10/8/1983,Self employed,13-10-18,6,1426,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,1,0,No History
212210,512289,32341,58276,58.34,11,23988,49,5956,20-01-95,Self employed,17-09-18,3,3237,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
153935,509757,51351,96273,55.34,254,21251,48,6766,5/11/1996,Salaried,16-09-18,13,2048,1,0,1,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
134646,564754,91550,139750,68.69,79,23811,67,735,1/1/1991,Self employed,9/10/2018,18,881,1,1,0,1,0,0,706,D-Very Low Risk,2,1,0,0,13990,13990,0,0,Low Risk
73138,427250,57531,89306,68.08,251,23899,48,6863,5/2/1990,Self employed,8/8/2018,13,694,1,0,1,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
166693,532166,56913,64700,89.95,2,14698,45,1724,27-09-74,Self employed,24-09-18,4,2214,1,1,0,0,0,0,771,B-Very Low Risk,2,2,0,4136690,4314000,4314000,0,0,Low Risk
134219,483161,44129,59505,77.3,61,15897,45,1331,1/6/1993,Self employed,31-08-18,6,1689,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
208254,644686,43225,77081,59.68,42,16679,51,5224,7/7/1964,Salaried,30-10-18,3,3206,1,1,0,0,0,0,758,C-Very Low Risk,7,2,0,233710,437300,437300,0,0,Low Risk
3229,629203,64182,97091,68.08,36,22412,48,6628,1/1/1962,Self employed,27-10-18,13,1110,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
228949,587306,53303,66302,85.97,14,24675,86,581,1/9/1986,Self employed,19-10-18,15,3549,1,1,0,0,0,0,743,C-Very Low Risk,3,2,0,538261,554261,554261,1,1,Low Risk
112096,462066,53703,64466,85.32,67,17831,86,1446,11/6/1984,Salaried,24-08-18,6,1256,1,1,0,0,0,0,695,E-Low Risk,2,2,0,-40,10,10,0,0,Low Risk
46309,542416,46869,66594,73.58,1,18388,86,5073,8/7/1973,Salaried,27-09-18,3,1805,1,0,0,1,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,Low Risk
104526,565086,43939,62690,74.97,3,22417,51,100,21-07-93,Salaried,9/10/2018,16,1554,1,1,0,0,0,1,763,B-Very Low Risk,2,2,0,2776,18161,18161,0,1,Low Risk
62970,482331,35775,56216,65.82,74,16742,45,2587,20-02-87,Salaried,31-08-18,4,951,1,1,0,0,0,0,593,I-Medium Risk,1,0,1,0,0,0,0,0,Medium Risk
73445,561359,68382,96675,71.89,48,17267,51,6435,16-08-89,Self employed,8/10/2018,5,1548,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
149160,423664,61713,77500,81.94,16,16445,86,3002,1/1/1987,Self employed,6/8/2018,14,1927,1,1,0,0,0,0,527,J-High Risk,6,2,1,45257,56810,56810,0,0,High Risk
49732,449111,33484,46931,73.51,18,23483,51,2721,1/12/1956,Self employed,20-08-18,4,1696,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
230365,637676,30484,46215,71.41,138,23505,51,3332,22-03-97,Self employed,29-10-18,9,3661,1,1,0,1,0,0,691,E-Low Risk,8,6,0,786934,848100,848100,1,0,Low Risk
52640,562128,56013,80090,71.17,9,18062,86,5401,3/1/1995,Self employed,8/10/2018,3,1699,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
19772,441349,45732,64502,73.0,251,23512,86,6897,18-07-92,Self employed,16-08-18,13,620,1,0,1,1,0,0,738,C-Very Low Risk,12,5,0,50194,162205,162205,1,0,Low Risk
139676,502687,65882,76889,88.44,255,23173,86,5849,15-10-96,Self employed,12/9/2018,3,88,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
17555,442483,48703,60534,86.73,3,14764,86,57,12/1/1978,Self employed,16-08-18,1,1018,1,1,0,0,0,0,680,F-Low Risk,4,4,0,78604,108424,108424,5,0,Low Risk
159264,620578,50600,68700,74.96,136,23547,51,3755,12/5/1978,Self employed,25-10-18,8,2148,1,1,0,0,0,0,738,C-Very Low Risk,2,2,0,24393,40000,40000,1,0,Low Risk
9903,551546,46349,75073,63.94,17,20335,86,3241,3/10/1987,,30-09-18,17,1249,1,1,0,0,0,0,825,A-Very Low Risk,2,0,0,0,0,0,0,0,Low Risk
115042,593107,53303,67934,79.49,136,23432,51,3778,14-03-82,Self employed,21-10-18,8,432,1,1,0,0,0,0,682,E-Low Risk,29,7,0,431321,872157,815181,0,1,Low Risk
222611,610806,62713,74590,85.8,48,21668,51,6301,25-09-68,Self employed,24-10-18,5,3266,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
132359,635760,71823,98103,74.62,34,20933,51,1063,14-05-97,Self employed,29-10-18,6,1812,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
170528,433211,53303,68892,79.11,17,15047,86,3239,6/4/1987,Self employed,11/8/2018,17,2264,1,1,0,0,0,0,300,M-Very High Risk,7,2,0,204776,363000,363000,1,0,High Risk
181567,641272,54013,75003,74.66,251,21247,45,6894,1/10/1989,Self employed,30-10-18,13,2500,1,0,0,1,0,0,738,C-Very Low Risk,10,3,0,61167,150206,150206,1,0,Low Risk
73595,535665,65169,90001,74.44,1,20538,120,4957,25-02-85,Salaried,25-09-18,3,1581,1,1,0,0,0,0,742,C-Very Low Risk,8,2,0,1175266,1901840,1901840,0,0,Low Risk
211182,534532,56413,68250,84.98,67,16605,120,1450,1/1/1989,Salaried,25-09-18,6,2920,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
160896,456287,53303,81403,67.57,11,23877,49,5968,1/1/1960,Self employed,22-08-18,3,2114,1,1,0,0,0,0,14,Not Scored: Only a Guarantor,1,0,0,0,0,0,0,0,Not Scored
150792,634461,48349,65635,76.18,3,13960,45,87,1/1/1991,Salaried,28-10-18,1,1983,1,1,0,0,0,0,836,A-Very Low Risk,3,0,0,0,0,0,2,1,Low Risk
66353,641154,53139,73055,74.0,36,18459,86,6642,1/9/1995,Self employed,30-10-18,13,74,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
76483,617744,58947,68810,88.65,3,17038,51,576,1/1/1997,Salaried,25-10-18,15,149,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
94403,633334,54313,68696,81.66,62,18153,86,461,1/1/1983,Salaried,28-10-18,11,1248,1,1,0,0,0,0,467,K-High Risk,6,3,1,689537,24450,24450,0,0,High Risk
83541,574311,56174,76264,76.71,3,21305,86,40,1/12/1969,Salaried,13-10-18,1,295,1,1,0,0,0,0,300,M-Very High Risk,11,4,2,728311,1273139,1251827,0,0,High Risk
185571,635114,72623,107664,68.73,1,21795,51,6095,15-01-74,Self employed,29-10-18,3,2647,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
150535,530897,41060,71585,58.9,251,21247,45,6900,1/10/1987,Self employed,23-09-18,13,2045,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
61725,453786,52728,69750,78.14,16,21124,86,2998,1/1/1982,Salaried,21-08-18,14,79,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
65727,624426,40394,81290,51.67,1,16052,45,6102,1/1/1979,Self employed,26-10-18,3,222,1,0,0,1,0,0,16,Not Scored: No Activity seen on the customer (Inactive),1,0,0,0,0,0,0,0,Not Scored
217109,530374,41264,63225,69.59,8,14854,45,5533,1/1/1987,Self employed,23-09-18,3,3164,1,1,0,0,0,0,333,L-Very High Risk,1,1,1,43082,32300,32300,0,0,High Risk
134553,627892,73123,111899,66.13,13,22450,51,4715,3/6/1991,Salaried,26-10-18,8,765,1,1,0,0,0,0,691,E-Low Risk,17,7,0,384150,426750,426750,0,0,Low Risk
15700,420637,21074,49987,45.01,48,16437,51,6178,1/1/1985,Salaried,3/8/2018,5,1524,1,1,0,0,0,0,763,B-Very Low Risk,1,1,0,4300,20900,20900,0,0,Low Risk
208793,460406,58707,94254,65.78,65,17752,51,6852,25-10-91,Self employed,24-08-18,13,2414,1,0,1,1,0,0,706,D-Very Low Risk,1,1,0,80048,90000,90000,0,0,Low Risk
126329,421473,47549,62188,78.79,34,15217,86,977,1/1/1982,Self employed,4/8/2018,6,1876,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
106783,461635,46400,60821,78.1,15,23239,86,303,19-11-88,Salaried,24-08-18,11,1185,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
6047,638430,27729,74200,39.35,152,22949,45,5219,10/2/1968,Self employed,29-10-18,3,1428,1,1,0,0,0,0,18,Not Scored: No Updates available in last 36 months,1,0,0,0,0,0,0,0,Not Scored
50558,574450,13941,72676,20.88,65,16159,45,6785,1/10/1980,Self employed,13-10-18,13,1534,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
207491,508213,50503,66737,77.62,67,18166,86,1420,11/5/1987,Salaried,15-09-18,6,2953,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
199187,550394,37439,51100,76.32,103,24407,51,7038,1/1/1978,Self employed,29-09-18,7,2811,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
116549,532905,64061,77716,85.0,13,15884,86,4609,7/10/1984,Salaried,24-09-18,8,1372,1,1,0,0,0,0,15,Not Scored: Sufficient History Not Available,1,1,0,67204,68506,68506,1,1,Not Scored
138365,616218,51302,67610,79.57,105,20292,48,1294,22-10-96,Salaried,25-10-18,6,1959,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
227703,595653,48278,59531,84.33,61,23124,45,1406,6/8/1966,Salaried,21-10-18,6,3550,1,1,0,0,0,0,738,C-Very Low Risk,3,1,0,16280,40700,40700,0,0,Low Risk
114117,442788,43394,68565,65.63,159,23360,45,7186,7/11/1991,Self employed,16-08-18,7,183,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
181826,451320,52182,68520,83.19,7,14734,45,5804,15-02-83,Self employed,20-08-18,3,2504,1,1,0,0,0,0,16,Not Scored: No Activity seen on the customer (Inactive),2,0,1,0,0,0,0,0,Not Scored
85786,616244,71817,90229,82.01,19,22857,86,1899,17-09-93,Self employed,25-10-18,4,975,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
149164,503759,57259,69500,83.45,16,16445,86,2946,1/1/1980,Salaried,14-09-18,14,1927,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,1,0,No History
102714,461634,65882,103770,65.53,255,23805,51,5851,1/1/1990,Self employed,24-08-18,3,956,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
15841,643220,55559,63810,89.8,48,21091,45,6341,7/2/1989,Self employed,30-10-18,5,450,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
46257,653548,37589,56589,69.62,8,21855,51,5269,6/8/1978,Self employed,31-10-18,3,138,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
154934,474865,41810,62756,69.0,73,16652,86,534,27-11-86,Self employed,29-08-18,11,2024,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
225970,586520,51703,68012,77.78,111,24512,45,3186,14-03-97,Salaried,18-10-18,17,3598,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
140044,427537,59013,78000,79.87,5,23401,51,3345,15-02-90,Self employed,8/8/2018,9,326,1,1,0,0,0,0,832,A-Very Low Risk,7,0,0,0,0,0,1,0,Low Risk
111135,463465,45349,53528,87.8,61,22817,86,1336,1/1/1969,Self employed,25-08-18,6,491,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
210161,483365,53103,68496,79.27,15,13448,86,326,1/1/1987,Salaried,31-08-18,11,2900,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
151657,467428,49713,65499,80.92,160,23284,45,560,19-09-96,Salaried,28-08-18,15,2056,1,1,0,0,0,0,738,C-Very Low Risk,2,1,0,13091,15000,15000,2,0,Low Risk
59591,629297,64212,79092,84.71,3,17038,51,571,20-08-88,Salaried,27-10-18,15,1352,1,1,0,0,0,0,553,J-High Risk,13,5,1,1742505,1866473,1922330,1,0,High Risk
111823,469569,36855,66745,59.18,120,18732,45,6910,1/1/1996,Self employed,28-08-18,12,1530,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
58141,567910,73323,101496,73.4,36,24622,48,6574,1/1/1979,Self employed,10/10/2018,13,724,1,0,0,1,0,0,300,M-Very High Risk,5,4,2,176280,550955,550955,0,1,High Risk
108827,634248,32284,67777,48.39,67,24567,120,1577,28-02-80,Self employed,28-10-18,6,915,1,1,0,0,0,0,738,C-Very Low Risk,1,1,0,606648,1130000,1130000,0,0,Low Risk
232218,435779,56959,73750,78.64,5,17408,51,3372,24-04-84,Self employed,13-08-18,9,2280,1,0,0,1,0,0,738,C-Very Low Risk,4,1,0,12276,30000,30000,0,0,Low Risk
140206,580633,72123,115625,64.86,104,22635,48,7150,1/1/1999,,15-10-18,10,531,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
40788,648349,62315,99017,65.54,36,23342,48,6583,1/1/1975,Self employed,31-10-18,13,1311,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
73157,646321,70017,106683,67.11,251,23899,48,6857,1/10/1973,Self employed,31-10-18,13,694,1,0,0,1,0,0,300,M-Very High Risk,4,2,1,362569,300000,300000,0,0,High Risk
228037,640355,57259,67843,85.49,5,13975,45,3399,25-05-81,Salaried,30-10-18,9,3721,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
109509,543781,30484,93403,34.26,20,23822,48,6209,1/1/1979,Self employed,28-09-18,5,1288,1,1,0,0,0,0,555,J-High Risk,5,3,0,104962,101500,101500,1,0,High Risk
142848,549743,49503,67804,75.95,36,18461,45,6607,28-02-77,Self employed,29-09-18,13,1864,1,0,0,0,1,0,18,Not Scored: No Updates available in last 36 months,1,0,0,0,0,0,0,1,Not Scored
31629,469647,52360,63597,85.0,162,15805,86,1849,1/1/1973,Salaried,28-08-18,4,572,1,1,0,0,0,0,300,M-Very High Risk,1,0,1,0,0,0,0,1,High Risk
87282,576997,56659,68262,84.97,160,21773,86,81,1/1/1993,Salaried,14-10-18,1,904,1,1,0,0,0,0,595,I-Medium Risk,5,2,1,4872,97900,97900,2,0,Medium Risk
86823,481101,48349,60330,82.05,79,17413,86,738,2/1/1979,Self employed,31-08-18,18,446,1,1,0,0,0,0,783,B-Very Low Risk,12,5,0,4932,357301,357301,0,0,Low Risk
139377,440739,55909,63000,89.92,2,23799,86,1642,12/11/1994,Salaried,16-08-18,4,751,1,1,0,0,0,0,698,E-Low Risk,4,3,0,15546,44140,44140,0,0,Low Risk
116821,589226,68618,74601,94.5,19,21435,86,1842,1/6/1973,Salaried,19-10-18,4,454,1,1,0,0,0,0,737,C-Very Low Risk,3,2,0,62617,85500,85500,0,0,Low Risk
163974,566270,72317,81804,89.85,162,17094,86,1838,10/10/1989,Self employed,10/10/2018,4,2134,1,1,0,0,0,0,300,M-Very High Risk,7,1,1,17396,50000,50000,0,1,High Risk
188691,649677,62097,71743,89.21,121,21043,86,3664,21-04-97,Salaried,31-10-18,9,2585,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
125468,593598,41394,66764,62.91,67,22350,86,1519,1/1/1971,Salaried,21-10-18,6,658,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
87697,459424,48649,62815,79.28,34,15196,86,1062,16-12-83,Self employed,23-08-18,6,34,1,1,0,0,0,0,774,B-Very Low Risk,1,1,0,2000,52000,52000,0,1,Low Risk
117826,460918,49303,72252,70.59,11,23964,51,6012,3/11/1985,Self employed,24-08-18,3,1289,1,1,0,0,0,0,681,E-Low Risk,1,1,0,18345,30000,30000,0,0,Low Risk
163120,522392,70837,95152,77.77,165,23853,48,6499,13-05-93,Salaried,20-09-18,5,2161,1,1,0,0,0,0,825,A-Very Low Risk,2,1,0,23446,33000,33000,0,0,Low Risk
29925,644793,65882,79221,85.84,152,15438,45,5158,20-06-69,Self employed,30-10-18,3,1167,1,1,0,0,0,0,733,D-Very Low Risk,19,8,0,947870,1138568,1138568,0,0,Low Risk
169875,551750,64213,76538,84.93,136,17783,86,3740,15-12-69,Self employed,30-09-18,8,2285,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
139312,555964,51578,59800,87.79,2,23799,86,1654,30-01-94,Salaried,3/10/2018,4,751,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
195532,498520,59913,68417,88.72,66,18100,86,3114,3/1/1983,Self employed,10/9/2018,17,2864,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
8930,500718,48749,62252,80.32,67,22727,45,1446,1/1/1968,Self employed,12/9/2018,6,1201,1,0,0,1,0,0,659,F-Low Risk,3,1,0,6200,30476,30476,3,0,Low Risk
109090,574375,59947,80925,76.61,152,13890,86,6030,9/12/1989,Salaried,13-10-18,3,599,1,1,0,0,0,0,757,C-Very Low Risk,3,1,0,696027,750000,750000,0,0,Low Risk
131056,568274,56459,69511,83.44,61,15894,86,1311,14-05-58,Self employed,11/10/2018,6,583,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
42195,457430,50363,62081,83.86,19,23213,45,1828,4/6/1984,Salaried,22-08-18,4,93,1,1,0,0,0,0,320,L-Very High Risk,2,2,2,50439,260000,260000,0,1,High Risk
173821,464573,51027,87838,61.25,74,16686,48,2579,1/1/1991,Self employed,25-08-18,4,2357,1,1,0,0,0,0,16,Not Scored: No Activity seen on the customer (Inactive),1,1,0,0,0,0,0,0,Not Scored
187998,452170,62500,83255,77.47,121,20180,120,3670,24-07-96,Salaried,21-08-18,9,2590,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
55898,561888,50303,74063,68.86,64,22076,86,3560,1/1/1991,Self employed,8/10/2018,9,1634,1,1,0,0,0,0,370,K-High Risk,2,1,1,18411,5302,5302,0,1,High Risk
60883,477797,51300,64779,81.82,63,17412,45,7101,5/9/1983,Salaried,30-08-18,10,187,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
70182,423558,62063,72000,87.29,2,14834,86,2378,28-04-69,Salaried,6/8/2018,4,488,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
93776,630944,54303,71412,77.02,251,23279,86,6889,1/10/1989,Salaried,27-10-18,13,255,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
143334,513842,67669,93916,74.53,136,18651,48,3816,12/7/1992,Salaried,18-09-18,8,780,1,1,0,0,0,0,613,H-Medium Risk,2,1,0,20000,20000,20000,0,0,Medium Risk
68236,601457,37546,71297,54.0,61,16016,86,1300,21-05-86,Salaried,22-10-18,6,918,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
92124,577553,62000,74206,84.9,147,17223,86,2798,1/1/1991,Salaried,14-10-18,2,734,1,1,0,0,0,0,783,B-Very Low Risk,11,2,0,569596,815000,815000,1,1,Low Risk
2623,583193,57218,82011,75.0,36,22805,49,6656,1/1/1983,Salaried,16-10-18,13,1121,1,0,0,1,0,0,825,A-Very Low Risk,2,0,0,0,0,0,0,1,Low Risk
62830,562394,66882,99760,69.17,11,23126,48,5952,25-05-93,Self employed,8/10/2018,3,1172,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
78164,615054,53730,70730,77.76,63,17412,45,7084,1/1/1982,Salaried,24-10-18,10,95,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
143139,643580,55013,64381,86.98,61,15919,45,1377,19-01-84,Salaried,30-10-18,6,1214,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
62842,569447,73551,117549,64.65,11,24120,86,5955,27-04-87,Self employed,11/10/2018,3,1172,1,1,0,0,0,0,625,H-Medium Risk,1,1,0,78619,180000,180000,0,0,Medium Risk
143852,560610,42394,66500,66.17,10,16486,51,5721,1/1/1989,Self employed,6/10/2018,3,469,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
13127,612142,63882,74025,89.16,1,22056,45,4980,1/1/1977,Salaried,24-10-18,3,1465,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
64567,620016,51578,67394,79.38,9,18223,86,5369,1/1/1988,Salaried,25-10-18,3,201,1,1,0,0,0,0,15,Not Scored: Sufficient History Not Available,1,1,0,6643,9490,9490,0,0,Not Scored
31309,632603,33484,77022,45.44,1,14432,86,5081,1/1/1991,Self employed,27-10-18,3,1700,1,0,0,1,0,0,547,J-High Risk,1,1,1,149907,200000,200000,0,0,High Risk
82565,481988,52553,65208,82.81,5,17980,86,3363,29-06-94,Salaried,31-08-18,9,260,1,1,0,0,0,0,571,I-Medium Risk,1,1,1,62832,85000,85000,0,0,Medium Risk
52407,498549,44349,64711,71.09,48,23330,49,6264,30-04-81,Salaried,10/9/2018,5,1246,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
47477,583827,63213,75387,84.9,16,18473,86,3013,2/2/1986,Self employed,17-10-18,14,263,1,1,0,0,0,0,17,Not Scored: Not Enough Info available on the customer,2,2,0,10379,16839,16839,0,0,Not Scored
232122,629521,61947,70500,89.36,135,23618,45,1628,18-04-85,Self employed,27-10-18,4,2044,1,1,0,0,0,0,15,Not Scored: Sufficient History Not Available,1,1,0,27093,28000,28000,0,1,Not Scored
