,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
23735,Argentina,"Blueberry and plum aromas are slightly exotic but also unusual and wayward. An easy feeling palate is medium in body and intensity, while woody flavors of herbal blueberry finish mild, with a persistent herbal aftertaste.",Roble,87,17.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Los Haroldos 2011 Roble Malbec (Mendoza),Malbec,Los Haroldos
8748,Italy,"A potpourri of violets, sweet baking spices and woodland berries take center stage. The savory palate offers up wild cherry, black raspberry and cinnamon alongside supple tannins and fresh acidity. Drink soon.",,89,12.0,Piedmont,Nebbiolo d'Alba,,Kerin O’Keefe,@kerinokeefe,Veglio 2012  Nebbiolo d'Alba,Nebbiolo,Veglio
96917,France,"This is a fruity, juicy wine that Heifara Swartvagher made to be drunk young. With black currant freshness over firm, dry tannins, it's ripe, packed with attractive fruitiness and ready to drink.",,87,10.0,Southwest France,Cahors,,Roger Voss,@vossroger,Château Saint-Sernin 2012 Malbec-Merlot (Cahors),Malbec-Merlot,Château Saint-Sernin
91701,Italy,"This bold Pinot Grigio is a far cry from the many watered-down versions of this popular wine. It's loaded with creamy white peach, Bartlett pear and green apple accented with lemon zest and a hint of pastry filling. Crisp acidity brightens this up and it finishes clean and dry.",,89,29.0,Northeastern Italy,Collio,,Kerin O’Keefe,@kerinokeefe,Villa Russiz 2012 Pinot Grigio (Collio),Pinot Grigio,Villa Russiz
13908,Greece,"Alluring aromas of ripe peach, grapefruit and lemon lead this stylish white. The wine offers integrated flavors of spicy citrus and lemon peel backed by a sea-salt salinity. Balanced and brisk but full of flavor, it's a great example of the elegance of this variety.",,91,20.0,Santorini,,,Susan Kostrzewa,@suskostrzewa,Greek Wine Cellars 2014 Assyrtico (Santorini),Assyrtico,Greek Wine Cellars
123377,US,"An enterprising blend of Cabernet Franc, Merlot, Malbec and Syrah, this zippy, light-footed rosé is full of tart cranberry and sour cherry acidity. Crisp yellow peach notes add sunshine on the palate. It finishes crisp and clean.",Taste,89,25.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Bedell 2014 Taste Rosé (North Fork of Long Island),Rosé,Bedell
25028,US,"Cranberry and currant dominate this restrained wine, wound up in tannins with a streak of sage accented by black pepper. On the finish expect deeper layers of chocolate and vanilla-caramel.",,88,38.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Clos du Val 2011 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Clos du Val
33516,France,"This deliciously fruity wine is all about citrus, pear and crisp apple. Lively and ready to drink, it will improve through 2016 as the intense acidity softens.",Les Tortues,86,13.0,Southwest France,Côtes de Gascogne,,Roger Voss,@vossroger,Domaine Uby 2014 Les Tortues Colombard-Sauvignon Blanc (Côtes de Gascogne),Colombard-Sauvignon Blanc,Domaine Uby
60423,US,"The Sangiovese grape makes some of the best bone-dry rosés in the Northwest; this being a prime example. The grapes were cold-soaked for four days, then fermented in neutral oak. The strawberry/pie cherry fruit is just ripe enough; the acids fresh and natural; the finish long and utterly satisfying. This should be chilled and enjoyed outdoors on a beautiful day.",Chukar Ridge Vineyard,88,14.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Viento 2006 Chukar Ridge Vineyard Sangiovese (Columbia Valley (WA)),Sangiovese,Viento
27306,France,"Well balanced, ripe and fresh, it reveals raspberry fruits, an attractive mineral texture and citrus acidity. The style, definitely dry, needs food.",Les Papilles,88,15.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Les Vignobles Gueissard 2013 Les Papilles Rosé (Côtes de Provence),Rosé,Les Vignobles Gueissard
19519,France,"Oxidative in character, this ripe wine has melon, spice and almond flavors. It is ready to drink.",Appolonia,84,32.0,France Other,Patrimonio,,Roger Voss,@vossroger,Domaine Marengo 2014 Appolonia Vermentino (Patrimonio),Vermentino,Domaine Marengo
22282,US,"Silky smooth and delicate, this comes from a long-standing family-run winery in the heart of the appellation. It's a subtle, floral wine offering layers of dark plum and strawberry. Medium-weight and tangy in acidity, black tea and toffee notes linger on the finish.",,92,30.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Pellegrini 2013 Pinot Noir (Russian River Valley),Pinot Noir,Pellegrini
14276,France,"This is properly fresh and fruity, with delicious herb and ripe apricot notes. Light, refreshing and crisp, this is ready to drink.",Pigmentum,86,12.0,Southwest France,Côtes de Gascogne,,Roger Voss,@vossroger,Georges Vigouroux 2011 Pigmentum Ugni Blanc-Colombard (Côtes de Gascogne),Ugni Blanc-Colombard,Georges Vigouroux
10648,US,"Scents of bacon fat from the new French oak introduce a tight young wine. The cured meat aromas and flavors somehow suggest a splash of Syrah in the blend, though none is noted. Give it a couple more years to smooth out and let the fruit come through.",,87,30.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,William Church 2008 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,William Church
122580,US,"Almost as perfect a Stags Leap Cabernet as you can find, showing lush, opulent and immediately appealing flavors. Blackberries, plums, cassis, dark chocolate and sweet oak combine in a spicy swirl. The tannins are fiercely soft, an oxymoron that suggests the wine's complexity. Yet those same tannins are astringent enough to warrant time in the cellar. Hold until 2014, at least.",,94,65.0,California,Stags Leap District,Napa,,,Baldacci 2008 Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Baldacci
641,US,"Completely stainless-fermented and aged, this is a blockbuster of a white wine, refreshing and exotic in floral intoxication. Dry and light-bodied, it offers an edginess of slate-like minerality along with aromas of apricot and peach, finishing in a dusting of white pepper.",,92,25.0,California,California,California Other,Virginie Boone,@vboone,Les Belles Collines 2014 Pinot Gris (California),Pinot Gris,Les Belles Collines
7046,Argentina,"Closed aromas of red fruits, wet cement and green herbs precede a flat fairly tannic palate. Grinding cherry and plum flavors finish with hard tannins and midland rubbery red-fruit flavors.",,84,14.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Ricordi 2012 Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Ricordi
79083,France,"The faintest hints of smoke, apricot and honey hit the nose, while the palate of this wine shows balmy apricot notes but is otherwise still closed. A quiet harmony of fruit and freshness, body and weight already tells us that this needs time to show its true colors. The wine is is promising and elegant, tart and gentle, fresh and soothing. Right now it glides arrow-like across the palate. Give this time: drink 2028–2030.",Fronholz,94,48.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Ostertag 2014 Fronholz Riesling (Alsace),Riesling,Domaine Ostertag
76089,US,"This is a beautiful Cabernet that shows the gentle tannins and herbaceous edge of Rutherford Cabernets, but doesn't stint on richness. It's dry, smooth and appealing in black and red cherry, red currant, licorice, bacon and sandalwood flavors, and is complex enough to age for a decade.",,92,60.0,California,Rutherford,Napa,,,Riboli 2008 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Riboli
75612,Argentina,"Cherry and plum aromas carry the mildest touch of stem, yet the palate is reasonably stocky. Cherry and chocolate flavors may seem slightly confected, but given the wine's price it's hard to register many complaints. A creamy and flavorful finish makes this well worth the money.",Alta,85,9.0,Other,Tulum Valley,,Michael Schachner,@wineschach,Callia 2008 Alta Malbec (Tulum Valley),Malbec,Callia
71110,France,"This wine is packed with crisp red currant fruit and plenty of acidity. Firm with tannins now, it will bring out more fruitiness as it develops. Ready to drink from 2019.",,88,19.0,Bordeaux,Castillon Côtes de Bordeaux,,Roger Voss,@vossroger,Château la Brande 2015  Castillon Côtes de Bordeaux,Bordeaux-style Red Blend,Château la Brande
93365,US,"This wine is a kitchen-sink-style blend with Merlot and Syrah in the lead. It has aromas of herb, tire rubber, vanilla and dark fruit. The fruit flavors are tart and supple in feel with a lingering finish.",Falcon Series Tribute,87,22.0,Washington,Yakima Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Kestrel 2011 Falcon Series Tribute Red (Yakima Valley),Red Blend,Kestrel
102160,Chile,"This tan-colored Muscat was fermented and aged in clay amphora, hence the “viejas tinajas” name. Aromatically, this is strained and smells vaguely of apricot and citrus peel. The palate is drawing due to heavy skins contact during fermentation and aging, while a short set of bitter apricot flavors is more challenging than pleasurable. Better to wait for the 2016. This is past its prime.",Viejas Tinajas,84,43.0,Itata Valley,,,Michael Schachner,@wineschach,De Martino 2015 Viejas Tinajas Muscat (Itata Valley),Muscat,De Martino
44348,Spain,"Nice, brawny and integrated, with sexy aromas of wild berry, dark plum, leather and earth. The palate has the right weight and tannic grab, while the flavors of black fruit, fine herbs, cola and coffee are measured yet generous. Finishes with driving chocolate and vanilla flavors. Drink now through 2016.",Old Vines Unfiltered,93,89.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Remírez de Ganuza 2004 Old Vines Unfiltered  (Rioja),Tempranillo Blend,Remírez de Ganuza
111810,US,"Dry and brittle, with some sharp tannic edges. Yet it's good and ripe in blackberries, cherries, currants and cedar. Decent price for a Napa Cab.",Claret,86,18.0,California,Napa Valley,Napa,,,Steltzner 2008 Claret Red (Napa Valley),Bordeaux-style Red Blend,Steltzner
76529,US,"This appellation white is light in tart acidity, with a taste of sour lemon that persists on the palate and provides freshness and bite. Concentrated flavors of pineapple ride a creamy texture along a medium-bodied frame.",,87,25.0,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Buena Vista 2014 Chardonnay (Carneros),Chardonnay,Buena Vista
50633,Portugal,"Firm and tannic, this powerful wine is solid, foursquare and dense in structure. There is plenty of fruit as well, with the typical juiciness of Alicante Bouschet to give a ripe fruity character under the tannic structure. Drink this concentrated wine from 2017.",Dornas,90,22.0,Alentejano,,,Roger Voss,@vossroger,Espaço Rural 2011 Dornas Red (Alentejano),Portuguese Red,Espaço Rural
70969,US,"Black-plum extract and rust make for a intriguing nose from a rugged region, with wet-cement minerality and a deep allspice element emerging in the background. Dark cranberry and pomegranate fruit is lifted by dried sagebrush and woody cedar flavors on the palate.",Boer Vineyard,92,36.0,California,Chalone,Central Coast,Matt Kettmann,@mattkettmann,Sandler 2014 Boer Vineyard Pinot Noir (Chalone),Pinot Noir,Sandler
53921,France,"This wine has great swathes of green fruits, like biting into a crisp apple. It's bright, shimmering with citrus and grapefruit. There is a tight, mineral bite at the end.",Sur Lie,88,14.0,Loire Valley,Muscadet Sèvre et Maine,,Roger Voss,@vossroger,Château de la Ragotiere 2012 Sur Lie  (Muscadet Sèvre et Maine),Melon,Château de la Ragotiere
41493,Australia,"Aptly named, for the oak influence here is strong—a dusty woodiness that's almost cedary. Fortunately, it's well integrated with the full-bodied cherry fruit. Finishes dry, but soft and ripe. —J.C.",,86,18.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Twelve Staves 2000 Grenache (McLaren Vale),Grenache,Twelve Staves
5219,US,"Flinty and austere, this is an elegant white wine crafted from 100% Musque clone, dancing in pear and grapefruit. The layered texture impressively stands out, riding the wave between creamy and lemony crisp with precision, opening the door for the wine to finish refreshingly.",Samantha's,92,30.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Lancaster 2013 Samantha's Sauvignon Blanc (Alexander Valley),Sauvignon Blanc,Lancaster
53989,Argentina,"Hard-crusted, medicinal aromas give the llama more funk than we prefer, and the palate is generic and clampy. Shows a mild burnt flavor throughout and while it's okay, it doesn't taste a whole lot like the Shiraz we've grown accustomed to.",,82,6.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Funky Llama 2007 Shiraz (Mendoza),Shiraz,Funky Llama
14075,US,"Sweet and simple. Tastes like a supermarket fruit juice blend of mango, peach and orange.",,82,11.0,California,California,California Other,,,McManis 2009 Viognier (California),Viognier,McManis
69390,France,"This is a delicious, fruity wine with just a core of tannins to hold it together. It is packed with red berry fruits along with intense, still-youthful acidity. As it develops, it will become fruitier and softer.",,88,50.0,Burgundy,Aloxe-Corton,,Roger Voss,@vossroger,Manuel Olivier 2011  Aloxe-Corton,Pinot Noir,Manuel Olivier
103839,Spain,"A more intense version of Carraovejas's Reserva from 2012, this also includes more than 20% Cabernet Sauvignon and Merlot. Thus it's spicy and prickly on the nose, with road tar and peppery notes in addition to potent berry fruit. A rich saturated rumbling palate deals coffee, toast, blackberry and herbal flavors that are much like the Reserva but more amplified. A charred finish has a lemony ring to it. Drink from 2020 through 2030.",El Anejón,93,136.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Pago de Carraovejas 2012 El Anejón  (Ribera del Duero),Red Blend,Pago de Carraovejas
128861,South Africa,"A crisp, lemony Chenin with some aging appeal. The nose starts out spicy and citric, and the flavors of lemon, spice and pineapple are light and clean. A simple but fun Chenin that will pair well with seafood and spicy dishes.",,86,9.0,Coastal Region,,,Susan Kostrzewa,@suskostrzewa,Fairvalley 2006 Chenin Blanc (Coastal Region),Chenin Blanc,Fairvalley
129638,France,"Very rich and packed with yellow and tropical fruits, this is a complex, wood-aged wine. It has a strong toasty edge that gives burnt spice that is balanced by the rich fruitiness. Acidity follows, making an appearance in the fresh finish. Drink from 2014.",Moulin des Dames,90,,Southwest France,Bergerac Sec,,Roger Voss,@vossroger,Château Tour des Gendres 2011 Moulin des Dames White (Bergerac Sec),Bordeaux-style White Blend,Château Tour des Gendres
94198,Portugal,"This is a light, fresh and crisply fruity wine. It is dominated by lime and ripe lemon flavors that come from the bright blend of Fernão Pires and Arinto. Not a wine for aging, so drink now.",Samora Branco,85,13.0,Tejo,,,Roger Voss,@vossroger,Wines & Winemakers 2012 Samora Branco White (Tejo),Portuguese White,Wines & Winemakers
23036,US,"A lovely Cabernet for drinking now with upscale fare, like steak. It's dry and smooth in the mouth, with velvety tannins, and the flavors are rich in black currants and mocha, with a touch of dried sage and cedar.",,88,30.0,California,Alexander Valley,Sonoma,,,Chateau St. Jean 2010 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Chateau St. Jean
112237,France,"This 100% Merlot is firm, dry and structured. Although the fruit is there, it has been submerged by tannins. Give it a few months for the ripe berry flavors to come through. Drink from 2016.",Merlot du Château Sainte Barbe,84,14.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Sainte Barbe 2013 Merlot du Château Sainte Barbe  (Bordeaux),Merlot,Château Sainte Barbe
8264,France,"More than just rich and sweet, this wine shows intense, complex flavors. It is full of ripe lychee and spice flavors, and boasts a rich, creamy texture with a finish that hints of dryness. It is maturing well and already ready to drink, but it will also hold for several more years.",Late Harvest,89,48.0,Alsace,Alsace,,Roger Voss,@vossroger,Cave de Kientzheim-Kaysersberg 2009 Late Harvest Pinot Gris (Alsace),Pinot Gris,Cave de Kientzheim-Kaysersberg
117048,US,"Massive in structure and very generous in flavor, this wine has light vanilla and nutmeg aromas, but dark and potent blackberry and espresso flavors smothered in a thick layer of fine tannins. There is no denying the wine's richness but it holds everything in a dry, firm texture to achieve great balance. Best to drink from 2018 to 2028.",High Slopes,93,40.0,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Terre Rouge 2013 High Slopes Syrah (Sierra Foothills),Syrah,Terre Rouge
114278,Italy,"Lean, compact and crisp, this Brunello is redolent of oak spice, ripe fruit, cured meat, rum cake and leather. It shows a sharply focused mouthfeel with tight structure and a streamlined feel.",,91,37.0,Tuscany,Brunello di Montalcino,,,,Tiezzi 2007  Brunello di Montalcino,Sangiovese Grosso,Tiezzi
27198,US,"Made in a Chablis style, this Chardonnay is bone dry and crisp in acidity. The pineapple and peach flavors are integrated with stony minerals. It's not a complex wine, but is super-clean and zesty, a nice complement to shellfish, mushroom risotto or a perfectly roasted chicken.",,90,17.0,California,Russian River Valley,Sonoma,,,Bearboat 2008 Chardonnay (Russian River Valley),Chardonnay,Bearboat
86558,France,"Wild flowers and a touch of rubber make for a bouquet that at first is hard to appreciate. With air things improve, and the palate that follows is full of tart gooseberry and citrus. Racy acidity really drives the citrus onto the finish, so much so that the wine leaves you with a one-dimensional impression: that of citrus and acidity.",Les Vignes de Berge / Les Loges,85,19.0,Loire Valley,Pouilly-Fumé,,,,Marc Deschamps 1999 Les Vignes de Berge / Les Loges  (Pouilly-Fumé),Sauvignon Blanc,Marc Deschamps
50636,US,"Complex and inviting, this artfully blends tart berry fruit with streaks of clove, pepper, sandalwood and hibiscus tea. Balanced and lingering, it shows the sexy, seductive side of the grape.",Estate,90,28.0,Oregon,Applegate Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Troon 2013 Estate Zinfandel (Applegate Valley),Zinfandel,Troon
93751,France,"Produced on a small family-run estate that is surrounded by Bordeaux first growths, this wine is structured and firm. It has dark tannins and black currant fruit, together giving a ripe, smoky wine. The 40-year-old vines add to the concentration of this wine. Drink from 2019.",,91,30.0,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Gaudin 2012  Pauillac,Bordeaux-style Red Blend,Château Gaudin
58243,France,"An intense, tight wine, with stalky black currant fruit. It exhibits delicacy and elegance rather than power. Fresh fruit with an attractive smoky element make this a wine that is going to develop further, and it has a fresh, vibrant finish.",,92,,Bordeaux,Margaux,,Roger Voss,@vossroger,Château d'Issan 2006  Margaux,Bordeaux-style Red Blend,Château d'Issan
79969,US,"Another 2010 Pinot marred by vegetal aromas. The chilly vintage took its toll, robbing the raspberries and cherries of their natural richness. Still, it's pretty good once you give it some airing.",,83,25.0,California,Santa Cruz Mountains,Central Coast,,,Bargetto 2010 Pinot Noir (Santa Cruz Mountains),Pinot Noir,Bargetto
115517,US,"An earthy Chardonnay, with herb-infused citrus and peach flavors, overlaid with sweet oak. It's soft and a little sweet and ready to drink now.",Heritage Reserve,86,35.0,California,Carneros,Napa-Sonoma,,,Schug 2008 Heritage Reserve Chardonnay (Carneros),Chardonnay,Schug
70959,France,"This is the top wine from Pitault-Landry at Domaine les Pins. It is concentrated, ripe and firmly structured. Wood aging has smoothed the texture and brought out the red fruits. It still could age further with its generous fruitiness. Drink from late 2017.",Cuvée Clos Les Pins,92,30.0,Loire Valley,Bourgueil,,Roger Voss,@vossroger,Domaine les Pins 2014 Cuvée Clos Les Pins Cabernet Franc (Bourgueil),Cabernet Franc,Domaine les Pins
3640,Portugal,Aromas of strawberry sherbet are followed by sweet candy-shop flavors on the palate. Chill it thoroughly before drinking. Screwcap.,Estreia,80,8.0,Vinho Verde,,,Roger Voss,@vossroger,Viniverde 2011 Estreia Rosé (Vinho Verde),Rosé,Viniverde
15109,US,"This is the first Tempranillo from Zefina (just 60 cases made) from vines planted at the Alder Ridge vineyard in 1999. It is soft, fruity and dark, with some pretty spice showing in the nose. There are attractive floral notes, sweet herbs and a mix of light red fruits to follow. The tannins are soft and the acids are well under control, leading into a lightly chocolaty finish.",,87,25.0,Washington,Horse Heaven Hills,Columbia Valley,Paul Gregutt,@paulgwine ,Zefina 2005 Tempranillo (Horse Heaven Hills),Tempranillo,Zefina
65861,US,"The Harrison Hill vineyard has some of Washington's oldest Cabernet vines. Here the blend of 65% Cabernet Sauvignon, 25% Merlot, 9% Cabernet Franc and 1% Petit Verdot offers a distinctive flavor profile, clean, sharp and herbal, with an interesting, earthy note. Flavors mingle beautifully, and carry through from the tart, tight-knit red fruit into the polished and lightly slatey tannins and a chewy, lightly peppery finish.",Harrison Hill Red Wine,91,72.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,DeLille 2005 Harrison Hill Red Wine Red (Yakima Valley),Red Blend,DeLille
157,Portugal,"From an estate in the south of the Alentejo, this is a rich, hot-country wine. It is firm, densely structured and with solid, dark tannins. There is a juicy black fruit background to this dense wine that gives a lift. Still young, this dark and very concentrated wine will be better from 2018.",Grande Reserva Tinto,91,26.0,Alentejano,,,Roger Voss,@vossroger,Casa Santa Vitória 2013 Grande Reserva Tinto Red (Alentejano),Portuguese Red,Casa Santa Vitória
109271,France,"Honeysuckle spice wraps itself around luscious, ripe, sweet peach fruit. The sweet palate reinforces this aromatic duo. This is fluid and round, indulgent and rich, but inflected with charming orange peel freshness.",Altenberg de Bergheim Grand Cru,91,40.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Cave de Ribeauvillé 2011 Altenberg de Bergheim Grand Cru Gewurztraminer (Alsace),Gewürztraminer,Cave de Ribeauvillé
7820,France,"Very soft, ripe grapefruit and kumquat flavors, lifted by acidity. The wine is broad, full in the mouth, crispness well integrated. Great final fruit.",La Charnivolle,87,23.0,Loire Valley,Menetou-Salon,,Roger Voss,@vossroger,Fournier Père et Fils 2008 La Charnivolle  (Menetou-Salon),Sauvignon Blanc,Fournier Père et Fils
40679,Greece,"The soft but exotic nose of tropical fruit and citrus leads into an elegant array of mouthwatering citrus and tropical fruit on this wine. Rich but lively on the finish, it's a classy sip for a warm-weather patio party.",,87,20.0,Crete,,,Susan Kostrzewa,@suskostrzewa,Lyrarakis 2010 Plyto (Crete),Plyto,Lyrarakis
68135,US,"This is a typical, standard style of Syrah, that tastes strongly of vanilla rather than of the actual grape. The fruit is muted, but the vanilla and tobacco flavors stand out.",,84,17.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Maryhill 2009 Syrah (Columbia Valley (WA)),Syrah,Maryhill
11615,US,"The aromas smell disjointed, with notes of barrel spice, vanilla and maple syrup. The palate is quite sweet and ripe, with abundant baking-spice accents.",Coyote Canyon Vineyard,85,25.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Coyote Canyon 2013 Coyote Canyon Vineyard Primitivo (Horse Heaven Hills),Primitivo,Coyote Canyon
92203,US,"This is a pleasant bottle, with delicate fruit flavors that suggest watermelon and strawberry—nothing riper. There's a distinct impression of white balsamic vinegar, adding a high-toned lift that's just on the edge of too much, at least for some tasters.",Dampier Vineyard,87,32.0,Oregon,Columbia Gorge (OR),Oregon Other,Paul Gregutt,@paulgwine ,Cathedral Ridge 2013 Dampier Vineyard Pinot Noir (Columbia Gorge (OR)),Pinot Noir,Cathedral Ridge
119247,Chile,"Pure on the nose, with a delightful mix of graphite, wild berry, cedar and minerally aromas, this is a rich, plump, mildly tannic Cabernet that will show best in the near term. Flavors of cassis, subdued oak spice and vanilla finish with ripe dark-berry sweetness and proper overall weight. Drink through 2018.",El Recurso Single Vineyard Block N°18,91,20.0,Maipo Valley,,,Michael Schachner,@wineschach,Cono Sur 2012 El Recurso Single Vineyard Block N°18 Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Cono Sur
88441,US,"The HJW Vineyard bottling shares the same backbone of mineral and citrus purity common to the producer's entire 2014 Riesling lineup, but with far greater intensity and penetration. Blossomy and perfumed at first, its grapefruit flavor and honed, steely density build on the palate with elegance and power.",HJW Vineyard,93,39.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Hermann J. Wiemer 2014 HJW Vineyard Riesling (Finger Lakes),Riesling,Hermann J. Wiemer
106542,France,"Despite some tough tannins on the finish, this is an intriguingly complex wine that may prove even better than this rating suggests. It starts with a garrigue note and a hint of tapenade, then adds bright cherry fruit and plenty of dusty tannins. Drink 2014–2020.",,88,45.0,Rhône Valley,Châteauneuf-du-Pape,,Joe Czerwinski,@JoeCz,André Brunel 2009 Red (Châteauneuf-du-Pape),Rhône-style Red Blend,André Brunel
57622,South Africa,"Winemaker: Sebastian Beaumont. It's hard not to like this wine. Initial aromas of clean yet ripe melon, yellow apple, sweet citrus and peach tones are upfront on the nose and carry through to the satisfying palate. The sweetness is countered by great acidic lift, with a saline minerality that lingers on the long, mouthwatering finish. It's hard to resist now, but it should continue to age well through 2022, and likely even beyond.",Cape Winemakers Guild Demi-Sec,91,,Bot River,,,Lauren Buzzeo,@laurbuzz,Beaumont 2016 Cape Winemakers Guild Demi-Sec Chenin Blanc (Bot River),Chenin Blanc,Beaumont
21211,Italy,"Delicate wild berry, underbrush, clove and grilled herb scents waft from the glass. The palate is ethereal and light-bodied, offering red cherry, pomegranate, and cinnamon flavors with a touch of game. Tangy acidity and supple tannins make it approachable now. Drink through 2020.",,89,,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Crocedimezzo 2012  Brunello di Montalcino,Sangiovese,Crocedimezzo
33910,Israel,"Aromas of apricot and cantaloupe pave the way for flavors of apricot, apple and smoked meat with a touch of river rocks. This wine feels a little stiff at first sip, but as it opens up to a pleasing combination of fruit and savory flavors that lead to a soft guava finish.",,89,17.0,Galilee,,,Mike DeSimone,@worldwineguys,Recanati 2013 Chardonnay (Galilee),Chardonnay,Recanati
128691,Italy,Don Peppino's vineyard lies on the lower slopes of Mt. Etna where the black volcanic terrain is easier to cultivate. The resulting fruit here comes across as focused and well-defined by mineral and berry tendencies with excellent crispness and enormous endurance on the close.,Prephylloxera La Vigna di Don Peppino,94,90.0,Sicily & Sardinia,Etna,,,,Tenuta delle Terre Nere 2007 Prephylloxera La Vigna di Don Peppino  (Etna),Red Blend,Tenuta delle Terre Nere
33301,France,"The highly aromatic nose is vaguely suggestive of cotton candy, but the flavors are dry and precise, offering hints of white chocolate and white peach and ending on a citrusy note.",Parallèle 45,85,15.0,Rhône Valley,Côtes du Rhône,,Joe Czerwinski,@JoeCz,Paul Jaboulet Aîné 2007 Parallèle 45 Rosé (Côtes du Rhône),Rosé,Paul Jaboulet Aîné
41539,Chile,"Strong but pleasant oak-based aromas of sandalwood complement lightly herbal plum and berry notes. This feels wiry and intense, with rugged tannins. Herbal, oaky berry flavors finish with scratchy tannins and a distant note of green.",Gran Terroir Estate Grown La Huella Vineyard,88,18.0,Bío Bío Valley,,,Michael Schachner,@wineschach,Agustinos 2015 Gran Terroir Estate Grown La Huella Vineyard Malbec (Bío Bío Valley),Malbec,Agustinos
1378,US,"This austere and lightly herbal Cabernet is balanced and varietal, but at first seems a bit dull, as if tasted through a screen. That said, it actually improved after 24 hours, with more presence to the tart red and black fruits. It's an elegant style that will probably show best with food.",Cs,86,18.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Substance 2006 Cs Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Substance
104147,South Africa,"A pale salmon color, this rosé shows ripe notes of cocoa-dusted cherry and strawberry alongside sweet citrus oil. Creamy and full in the mouth, it's a richer rosé that can stand up to heartier fare.",Fantail Pinotage,84,14.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Morgenhof 2010 Fantail Pinotage Rosé (Stellenbosch),Rosé,Morgenhof
55110,US,"No oak on this charming wine, so what you get is pure lemon, peach and mango fruit flavor. It's definitely on the rich side, and could use greater acidity to balance out the sugary finish.",,85,15.0,California,Central Coast,Central Coast,,,Justin 2012 Sauvignon Blanc (Central Coast),Sauvignon Blanc,Justin
104858,Portugal,"From an old block of vines, producing a field blend of many different varieties, Vinha Maria Teresa is a major wine. Its low yields, firm tannins and dense wood aging give it great staying power. Black plum surge through the chocolate flavors and are given point by acidity. Age this fine wine until 2018.",Vinha Maria Teresa,94,160.0,Douro,,,Roger Voss,@vossroger,Quinta do Crasto 2011 Vinha Maria Teresa Red (Douro),Portuguese Red,Quinta do Crasto
107877,France,"87-89 With intense acidity, this is a structured, firm wine. The extract is considerable, leaving an edge of bitterness. At the same time, the freshness gives point to the wood tannins.",Barrel sample,88,,Bordeaux,Médoc,,Roger Voss,@vossroger,Château Greysac 2010 Barrel sample  (Médoc),Bordeaux-style Red Blend,Château Greysac
108383,Spain,"This Crianza has leathery aromas, a tannic mouthfeel and roasted, spicy red berry flavors. It's dry, oaky and not particularly ripe.",Crianza,87,21.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Quasar 2014 Crianza  (Rioja),Tempranillo,Quasar
41925,Italy,"Aromas of ripe berry, fragrant blue flower and a whiff of cooking spice lead the nose on this bright red. The palate doles out juicy morello cherry, black raspberry, clove and white pepper alongside supple tannins.",,87,,Tuscany,Morellino di Scansano,,Kerin O’Keefe,@kerinokeefe,Frank & Serafico 2012  Morellino di Scansano,Red Blend,Frank & Serafico
